MATR_ALUNO,ANO,PERIODO,n_disciplinas_anteriores,taxa_aprovacao_historica,n_reprovacoes_historico,disciplina_ja_cursada,n_vezes_disciplina,MEDIA_FINAL_PRED,NUM_FALTAS_PRED,disc_1,disc_2,disc_3,disc_4,disc_5,TARGET
35,2013,1,0,0.5,0,False,0,36.322895370727025,21.20370569961324,0,0,0,1,0,REPROVADO
36,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,REPROVADO
36,2013,2,1,0.0,1,True,1,19.18801373347154,30.091626099426914,0,1,0,0,0,REPROVADO
36,2014,1,1,0.0,1,False,0,44.56344444444444,16.58614285714286,0,1,0,0,0,REPROVADO
36,2015,1,3,0.3333333333333333,2,True,2,43.91397390572391,11.989060203052382,0,1,0,0,0,REPROVADO
36,2016,2,4,0.25,3,True,3,13.144436507936508,19.573474718394653,0,1,0,0,0,REPROVADO
36,2017,1,5,0.2,4,True,4,3.3899603174603166,53.978952380952386,0,1,0,0,0,REPROVADO
36,2013,2,6,0.16666666666666666,5,True,5,47.118833333333335,19.424151404151406,0,0,0,0,1,APROVADO
37,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,APROVADO
37,2014,2,1,1.0,0,False,0,75.5632428544012,11.12372441930829,0,0,0,1,0,REPROVADO
37,2013,2,2,0.5,1,False,0,23.484691886501082,15.362084156578403,0,0,0,0,1,REPROVADO
39,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,REPROVADO
39,2014,1,0,0.5,0,False,0,39.30623260578766,18.298487000439444,0,1,0,0,0,REPROVADO
39,2013,1,2,0.0,2,True,1,43.38944444444444,34.50566666666667,0,0,1,0,0,REPROVADO
39,2013,2,2,0.0,2,False,0,37.75383333333333,31.62570513963161,0,0,1,0,0,APROVADO
39,2013,2,4,0.25,3,True,1,39.93513285495173,24.167467772967772,0,0,0,0,1,REPROVADO
40,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,REPROVADO
40,2013,1,0,0.5,0,False,0,60.37452032128607,19.011270365930955,0,0,0,0,1,REPROVADO
41,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,APROVADO
41,2016,1,1,1.0,0,False,0,58.816075618338786,2.0897609301030355,0,0,0,1,0,REPROVADO
41,2013,2,2,0.5,1,False,0,23.484691886501082,15.362084156578403,0,0,0,0,1,REPROVADO
42,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,REPROVADO
42,2014,1,1,0.0,1,True,1,41.15051322751322,13.542571428571431,0,1,0,0,0,REPROVADO
42,2014,2,2,0.0,2,True,2,8.326055014430015,45.19195424836601,0,1,0,0,0,REPROVADO
43,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,APROVADO
43,2016,1,1,1.0,0,False,0,58.816075618338786,2.0897609301030355,0,0,0,1,0,APROVADO
44,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,REPROVADO
44,2013,1,0,0.5,0,False,0,64.50490932443996,13.622434271092244,0,0,1,0,0,REPROVADO
44,2013,2,0,0.5,0,False,0,57.32271435419491,16.822355213153333,0,0,1,0,0,REPROVADO
44,2013,1,3,0.0,3,True,1,5.132833333333333,48.88209523809524,0,0,0,1,0,REPROVADO
45,2015,1,0,0.5,0,False,0,70.73343627536194,8.865784029595186,0,0,0,1,0,APROVADO
46,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,REPROVADO
46,2013,2,1,0.0,1,True,1,19.18801373347154,30.091626099426914,0,1,0,0,0,REPROVADO
46,2014,1,1,0.0,1,False,0,44.56344444444444,16.58614285714286,0,1,0,0,0,APROVADO
46,2014,1,3,0.0,3,True,2,19.502658730158732,29.258499999999998,0,0,0,1,0,REPROVADO
46,2013,2,3,0.0,3,False,0,11.504129629629631,38.72428571428572,0,0,0,0,1,REPROVADO
46,2014,2,5,0.2,4,True,1,13.063033002674379,7.158295297295293,0,0,0,0,1,REPROVADO
47,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,REPROVADO
47,2013,1,0,0.5,0,False,0,36.322895370727025,21.20370569961324,0,0,0,1,0,REPROVADO
47,2013,1,3,0.3333333333333333,2,True,1,66.41576587301589,12.32776770506182,0,0,0,0,1,APROVADO
48,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,APROVADO
48,2014,2,1,1.0,0,False,0,75.5632428544012,11.12372441930829,0,0,0,1,0,APROVADO
49,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,REPROVADO
50,2013,2,0,0.5,0,False,0,25.176179650645857,23.932593247748535,0,0,0,1,0,APROVADO
51,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,REPROVADO
52,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,APROVADO
52,2013,1,0,0.5,0,False,0,64.50490932443996,13.622434271092244,0,0,1,0,0,REPROVADO
52,2014,1,2,0.5,1,True,1,44.663833062134536,17.68154197759106,0,0,1,0,0,REPROVADO
52,2014,1,2,0.5,1,False,0,42.04649092469639,21.80154453316824,0,0,0,0,1,REPROVADO
52,2014,2,4,0.25,3,True,1,37.34422600797296,8.655442491060139,0,0,0,0,1,REPROVADO
53,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,APROVADO
53,2013,1,0,0.5,0,False,0,36.322895370727025,21.20370569961324,0,0,0,1,0,REPROVADO
53,2014,2,0,0.5,0,False,0,60.418385600614684,12.420161031626412,0,0,0,1,0,APROVADO
53,2013,1,3,0.6666666666666666,1,True,1,68.46408571521073,10.320077200577197,0,0,0,0,1,APROVADO
54,2017,1,0,0.5,0,False,0,56.08338794015586,7.9221628617987045,0,0,0,1,0,APROVADO
55,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,APROVADO
56,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,APROVADO
56,2014,1,1,1.0,0,False,0,69.14510977770763,12.079087782183784,0,0,0,1,0,APROVADO
57,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,REPROVADO
57,2013,1,0,0.5,0,False,0,64.50490932443996,13.622434271092244,0,0,1,0,0,REPROVADO
57,2013,2,0,0.5,0,False,0,57.32271435419491,16.822355213153333,0,0,1,0,0,REPROVADO
57,2013,1,3,0.3333333333333333,2,True,1,66.41576587301589,12.32776770506182,0,0,0,0,1,APROVADO
58,2013,2,0,0.5,0,False,0,64.27774497267146,23.435133860524004,1,0,0,0,0,REPROVADO
58,2013,2,0,0.5,0,False,0,34.28442127800324,18.467629189871733,0,1,0,0,0,REPROVADO
58,2013,2,0,0.5,0,False,0,22.59047550448338,20.876936250613195,0,0,0,0,1,REPROVADO
59,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,APROVADO
60,2013,2,0,0.5,0,False,0,34.28442127800324,18.467629189871733,0,1,0,0,0,REPROVADO
62,2013,2,0,0.5,0,False,0,34.28442127800324,18.467629189871733,0,1,0,0,0,REPROVADO
64,2013,2,0,0.5,0,False,0,34.28442127800324,18.467629189871733,0,1,0,0,0,REPROVADO
65,2017,2,0,0.5,0,False,0,58.347435831032456,5.473891198502622,0,0,1,0,0,APROVADO
67,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,APROVADO
67,2016,2,1,1.0,0,False,0,69.66712120886085,4.686325377507627,0,0,0,1,0,APROVADO
68,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,APROVADO
68,2014,1,1,1.0,0,False,0,69.14510977770763,12.079087782183784,0,0,0,1,0,APROVADO
69,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,REPROVADO
69,2013,2,0,0.5,0,False,0,34.28442127800324,18.467629189871733,0,1,0,0,0,REPROVADO
69,2014,1,2,0.0,2,True,1,56.15637566137569,18.07395238095237,0,1,0,0,0,APROVADO
69,2013,1,2,0.0,2,True,1,31.320222222222224,18.657904761904767,0,0,0,0,1,REPROVADO
69,2013,2,4,0.25,3,True,2,60.426313439780834,11.315904761904763,0,0,0,0,1,APROVADO
70,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,REPROVADO
70,2013,2,1,0.0,1,True,1,19.18801373347154,30.091626099426914,0,1,0,0,0,REPROVADO
70,2014,1,2,0.0,2,True,2,43.88247222222222,22.80642063492064,0,1,0,0,0,APROVADO
71,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,REPROVADO
71,2013,2,1,0.0,1,True,1,19.18801373347154,30.091626099426914,0,1,0,0,0,REPROVADO
71,2013,2,1,0.0,1,False,0,21.44637678062677,21.495904761904754,0,0,0,0,1,REPROVADO
72,2013,2,0,0.5,0,False,0,25.176179650645857,23.932593247748535,0,0,0,1,0,APROVADO
73,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,APROVADO
74,2013,2,0,0.5,0,False,0,57.32271435419491,16.822355213153333,0,0,1,0,0,APROVADO
75,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,REPROVADO
75,2013,2,1,0.0,1,True,1,19.18801373347154,30.091626099426914,0,1,0,0,0,REPROVADO
75,2014,1,2,0.0,2,True,2,43.88247222222222,22.80642063492064,0,1,0,0,0,REPROVADO
75,2014,2,2,0.0,2,False,0,7.030994949494951,32.428814814814814,0,1,0,0,0,REPROVADO
75,2015,1,4,0.0,4,True,3,9.506904761904762,55.024587301587296,0,1,0,0,0,REPROVADO
75,2014,1,5,0.0,5,True,4,34.51157936507936,35.37677777777777,0,0,0,1,0,REPROVADO
76,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,REPROVADO
